gender,study_hours,attendance,internal_marks,assignment_score,exam_score,previous_gpa,training,arrears,sleep_hours,mobile_usage,health_score,result
male,6,41,84,61,30,7.2,yes,4,8,8,47,Fail
male,7,47,90,96,73,6.2,yes,3,5,7,66,Pass
male,2,60,68,54,48,7.51,yes,4,4,6,73,Fail
male,4,59,96,38,36,8.32,yes,0,5,4,71,Pass
female,3,63,27,92,64,9.39,yes,4,3,6,99,Fail
female,7,69,41,64,29,5.38,yes,3,3,7,41,Fail
female,1,82,95,41,96,9.36,no,0,7,3,96,Pass
male,4,93,79,86,27,5.66,no,4,7,6,74,Fail
male,7,41,93,77,25,9.41,yes,3,9,4,93,Pass
male,5,63,44,50,64,4.1,no,2,3,7,65,Fail
male,2,84,94,44,86,4.43,yes,1,8,4,82,Pass
female,8,95,38,86,81,8.47,no,4,6,4,92,Pass
female,1,47,69,41,84,6.64,no,0,5,4,89,Pass
female,7,58,99,62,57,7.01,yes,4,4,3,72,Pass
female,2,49,29,37,72,7.47,no,5,9,2,92,Fail
female,4,77,86,100,96,5.32,no,3,6,4,65,Pass
female,5,68,87,44,84,4.11,yes,3,4,2,67,Pass
male,4,43,73,67,51,5.91,yes,4,6,1,69,Fail
male,8,63,21,68,40,5.76,no,0,5,3,98,Pass
male,7,88,82,78,59,6.25,no,3,9,7,98,Pass
male,5,94,41,24,51,5.12,no,5,6,1,87,Fail
female,2,59,88,50,95,4.65,yes,2,7,5,69,Pass
female,8,84,59,66,44,6.27,no,4,7,8,87,Pass
female,8,68,89,85,71,6.98,yes,1,8,1,86,Pass
male,5,43,96,57,45,9.26,yes,3,9,2,71,Pass
female,3,80,88,85,36,7.21,no,2,9,7,88,Pass
female,7,61,21,54,79,9.33,yes,3,7,6,48,Pass
female,5,96,38,71,60,6.35,no,1,3,7,42,Pass
male,6,78,97,77,36,9.5,yes,4,8,4,55,Pass
female,3,89,55,21,75,9.44,no,5,7,4,75,Pass
male,7,81,53,84,77,7.09,no,5,9,2,80,Pass
female,4,78,71,91,20,5.21,yes,5,3,1,99,Fail
female,2,88,91,52,92,9.09,no,5,8,5,55,Pass
male,2,96,38,79,53,9.39,yes,5,8,7,46,Fail
female,1,79,46,42,28,8.05,yes,5,5,6,40,Fail
female,5,83,65,47,23,4.7,yes,3,5,6,70,Fail
female,6,69,39,77,38,7.57,no,4,9,3,52,Fail
male,7,54,65,96,68,5.54,no,5,3,1,49,Fail
male,2,41,62,94,28,7.28,no,2,9,7,88,Fail
male,1,49,31,38,43,4.34,no,4,9,2,69,Fail
female,6,87,43,65,93,4.07,no,4,9,6,93,Pass
female,6,84,25,76,57,4.8,yes,5,6,2,69,Fail
female,1,80,92,48,29,7.85,yes,3,9,8,93,Fail
male,6,84,42,42,45,8.64,no,5,7,5,55,Fail
male,2,75,99,53,35,7.68,no,0,9,3,56,Pass
